Runs,Initial Sample,Query Sample,Pair,Error,Prediction
0,1,0.4,0.1,"('VX', 'NK')",0.4,0.0
1,1,0.4,0.1,"('AA', 'UA')",0.6363636363636364,0.0
2,1,0.4,0.1,"('AA', 'NK')",0.8,0.0
3,1,0.4,0.1,"('AA', 'HA')",0.42857142857142855,0.0
4,1,0.4,0.1,"('AA', 'AS')",0.7777777777777778,1.0
5,1,0.4,0.1,"('B6', 'US')",0.75,1.0
6,1,0.4,0.1,"('B6', 'NK')",0.125,1.0
7,1,0.4,0.1,"('B6', 'HA')",0.2,0.0
8,1,0.4,0.1,"('B6', 'AS')",0.8333333333333334,0.0
9,1,0.4,0.1,"('DL', 'UA')",0.19999999999999996,1.0
10,1,0.4,0.1,"('DL', 'WN')",0.6,0.0
11,1,0.4,0.1,"('DL', 'US')",0.3333333333333333,0.0
12,1,0.4,0.1,"('DL', 'MQ')",0.8571428571428571,0.0
13,1,0.4,0.1,"('DL', 'NK')",0.7777777777777778,0.0
14,1,0.4,0.1,"('DL', 'HA')",0.16666666666666666,0.0
15,1,0.4,0.1,"('UA', 'WN')",0.3,0.0
16,1,0.4,0.1,"('UA', 'US')",0.6,1.0
17,1,0.4,0.1,"('UA', 'EV')",0.7142857142857143,0.0
18,1,0.4,0.1,"('UA', 'HA')",0.6666666666666666,0.0
19,1,0.4,0.1,"('UA', 'AS')",0.625,0.0
20,1,0.4,0.1,"('WN', 'EV')",0.33333333333333337,1.0
21,1,0.4,0.1,"('WN', 'HA')",0.75,0.0
22,1,0.4,0.1,"('WN', 'AS')",0.2222222222222222,1.0
23,1,0.4,0.1,"('US', 'AS')",0.33333333333333337,1.0
24,1,0.4,0.1,"('MQ', 'EV')",0.75,0.0
25,1,0.4,0.1,"('MQ', 'HA')",1.0,0.0
26,1,0.4,0.1,"('MQ', 'AS')",0.75,0.0
27,1,0.4,0.1,"('NK', 'EV')",0.8333333333333334,0.0
28,1,0.4,0.1,"('NK', 'HA')",0.8,0.0
29,1,0.4,0.1,"('NK', 'AS')",0.6,0.0
30,1,0.4,0.1,"('EV', 'HA')",0.3333333333333333,0.0
31,1,0.4,0.1,"('EV', 'AS')",0.8333333333333334,0.0
32,1,0.4,0.6,"('VX', 'NK')",0.2666666666666666,0.6666666666666666
33,1,0.4,0.6,"('AA', 'UA')",0.06493506493506496,0.5714285714285714
34,1,0.4,0.6,"('AA', 'US')",0.05555555555555555,0.16666666666666666
35,1,0.4,0.6,"('AA', 'MQ')",0.0357142857142857,0.75
36,1,0.4,0.6,"('AA', 'NK')",0.30000000000000004,0.5
37,1,0.4,0.6,"('AA', 'HA')",0.07142857142857145,0.5
38,1,0.4,0.6,"('AA', 'AS')",0.1111111111111111,0.3333333333333333
39,1,0.4,0.6,"('F9', 'WN')",0.1111111111111111,0.0
40,1,0.4,0.6,"('F9', 'AS')",0.33333333333333337,0.5
41,1,0.4,0.6,"('B6', 'UA')",0.06666666666666665,0.6
42,1,0.4,0.6,"('B6', 'US')",0.04999999999999999,0.2
43,1,0.4,0.6,"('B6', 'HA')",0.2,0.0
44,1,0.4,0.6,"('B6', 'OO')",0.09999999999999998,0.4
45,1,0.4,0.6,"('DL', 'UA')",0.20000000000000007,0.6
46,1,0.4,0.6,"('DL', 'WN')",0.09999999999999998,0.5
47,1,0.4,0.6,"('DL', 'HA')",0.16666666666666666,0.0
48,1,0.4,0.6,"('DL', 'AS')",0.07499999999999996,0.8
49,1,0.4,0.6,"('UA', 'US')",0.06666666666666671,0.3333333333333333
50,1,0.4,0.6,"('UA', 'MQ')",0.16666666666666674,0.6666666666666666
51,1,0.4,0.6,"('UA', 'HA')",0.16666666666666663,0.5
52,1,0.4,0.6,"('UA', 'OO')",0.1071428571428571,0.75
53,1,0.4,0.6,"('UA', 'AS')",0.025000000000000022,0.6
54,1,0.4,0.6,"('WN', 'HA')",0.15000000000000002,0.6
55,1,0.4,0.6,"('WN', 'AS')",0.1777777777777778,0.6
56,1,0.4,0.6,"('US', 'MQ')",0.16666666666666666,0.0
57,1,0.4,0.6,"('US', 'NK')",0.14285714285714285,0.0
58,1,0.4,0.6,"('US', 'EV')",0.16666666666666666,0.0
59,1,0.4,0.6,"('US', 'HA')",0.08333333333333337,0.75
60,1,0.4,0.6,"('MQ', 'HA')",0.0,1.0
61,1,0.4,0.6,"('MQ', 'AS')",0.25,0.5
62,1,0.4,0.6,"('NK', 'HA')",0.13333333333333341,0.6666666666666666
63,1,0.4,0.6,"('NK', 'AS')",0.26666666666666666,0.3333333333333333
64,1,0.4,1.0,"('VX', 'B6')",0.14285714285714285,0.2857142857142857
65,1,0.4,1.0,"('VX', 'UA')",0.0,0.2222222222222222
66,1,0.4,1.0,"('VX', 'HA')",0.0,0.6
67,1,0.4,1.0,"('VX', 'AS')",0.0,0.7142857142857143
68,1,0.4,1.0,"('AA', 'B6')",0.11818181818181828,0.7
69,1,0.4,1.0,"('AA', 'UA')",0.0636363636363636,0.7
70,1,0.4,1.0,"('B6', 'DL')",0.0,0.125
71,1,0.4,1.0,"('B6', 'HA')",0.0,0.2
72,1,0.4,1.0,"('B6', 'AS')",0.16666666666666674,0.6666666666666666
73,1,0.4,1.0,"('DL', 'UA')",0.022222222222222254,0.7777777777777778
74,1,0.4,1.0,"('DL', 'WN')",0.06666666666666665,0.6666666666666666
75,1,0.4,1.0,"('DL', 'US')",0.1333333333333333,0.2
76,1,0.4,1.0,"('DL', 'NK')",0.11111111111111116,0.6666666666666666
77,1,0.4,1.0,"('DL', 'HA')",0.0,0.16666666666666666
78,1,0.4,1.0,"('DL', 'AS')",0.0,0.875
79,1,0.4,1.0,"('UA', 'US')",0.09999999999999998,0.5
80,1,0.4,1.0,"('UA', 'HA')",0.0,0.6666666666666666
81,1,0.4,1.0,"('UA', 'OO')",0.0,0.8571428571428571
82,1,0.4,1.0,"('UA', 'AS')",0.125,0.75
83,1,0.4,1.0,"('WN', 'US')",0.1527777777777778,0.625
84,1,0.4,1.0,"('WN', 'HA')",0.0357142857142857,0.7142857142857143
85,1,0.4,1.0,"('WN', 'AS')",0.02777777777777779,0.75
86,1,0.4,1.0,"('US', 'NK')",0.0,0.14285714285714285
87,1,0.4,1.0,"('MQ', 'EV')",0.125,0.875
88,1,0.4,1.0,"('MQ', 'HA')",0.0,1.0
89,1,0.4,1.0,"('MQ', 'AS')",0.0,0.75
90,1,0.4,1.0,"('NK', 'EV')",0.0,0.8333333333333334
91,1,0.4,1.0,"('NK', 'HA')",0.0,0.8
92,1,0.4,1.0,"('NK', 'OO')",0.0,0.16666666666666666
93,1,0.4,1.0,"('NK', 'AS')",0.0,0.6
94,1,0.4,1.0,"('EV', 'HA')",0.0,0.3333333333333333
95,1,0.4,1.0,"('EV', 'AS')",0.0,0.8333333333333334
96,1,0.4,1.0,"('HA', 'OO')",0.0,0.8571428571428571
