Runs,Initial Sample,Query Sample,Pair,Error on materialized,Error on lattice,Prediction
0,0,0.1,0.1,"('VX', 'UA')",0.125,0.2222222222222222,0.0
1,0,0.1,0.1,"('VX', 'NK')",0.4,0.4,0.0
2,0,0.1,0.1,"('AA', 'AS')",0.125,0.2222222222222222,0.0
3,0,0.1,0.1,"('F9', 'DL')",0.875,0.8888888888888888,0.0
4,0,0.1,0.1,"('F9', 'AS')",0.8333333333333334,0.8333333333333334,0.0
5,0,0.1,0.1,"('DL', 'UA')",0.875,0.8,0.0
6,0,0.1,0.1,"('WN', 'US')",0.875,0.7777777777777778,0.0
7,0,0.1,0.1,"('WN', 'OO')",0.8571428571428571,0.75,0.0
8,0,0.1,0.1,"('US', 'NK')",0.14285714285714285,0.14285714285714285,0.0
9,0,0.1,0.1,"('NK', 'HA')",1.0,0.8,0.0
10,0,0.1,0.2,"('VX', 'NK')",0.4,0.4,0.0
11,0,0.1,0.2,"('AA', 'AS')",0.125,0.2222222222222222,0.0
12,0,0.1,0.2,"('F9', 'WN')",0.125,0.1111111111111111,0.0
13,0,0.1,0.2,"('B6', 'AS')",0.8333333333333334,0.8333333333333334,0.0
14,0,0.1,0.2,"('DL', 'WN')",0.125,0.4,1.0
15,0,0.1,0.2,"('DL', 'NK')",0.125,0.2222222222222222,0.0
16,0,0.1,0.2,"('DL', 'HA')",0.16666666666666666,0.16666666666666666,0.0
17,0,0.1,0.2,"('DL', 'AS')",0.0,0.125,1.0
18,0,0.1,0.2,"('UA', 'HA')",0.8333333333333334,0.6666666666666666,0.0
19,0,0.1,0.2,"('UA', 'AS')",0.8571428571428571,0.625,0.0
20,0,0.1,0.2,"('WN', 'US')",0.125,0.2222222222222222,1.0
21,0,0.1,0.2,"('WN', 'AS')",0.125,0.2222222222222222,1.0
22,0,0.1,0.2,"('US', 'MQ')",0.2,0.16666666666666666,0.0
23,0,0.1,0.2,"('MQ', 'HA')",1.0,1.0,0.0
24,0,0.1,0.2,"('NK', 'EV')",0.8333333333333334,0.8333333333333334,0.0
25,0,0.1,0.2,"('NK', 'OO')",0.16666666666666666,0.16666666666666666,0.0
26,0,0.1,0.3,"('VX', 'B6')",0.14285714285714285,0.14285714285714285,0.0
27,0,0.1,0.3,"('VX', 'US')",0.16666666666666663,0.33333333333333337,1.0
28,0,0.1,0.3,"('VX', 'EV')",0.19999999999999996,0.19999999999999996,1.0
29,0,0.1,0.3,"('AA', 'DL')",0.125,0.30000000000000004,1.0
30,0,0.1,0.3,"('F9', 'DL')",0.125,0.11111111111111116,1.0
31,0,0.1,0.3,"('DL', 'NK')",0.125,0.2222222222222222,1.0
32,0,0.1,0.3,"('UA', 'US')",0.25,0.4,0.0
33,0,0.1,0.3,"('UA', 'NK')",0.125,0.125,0.0
34,0,0.1,0.3,"('UA', 'EV')",0.16666666666666663,0.2857142857142857,1.0
35,0,0.1,0.3,"('WN', 'US')",0.125,0.2222222222222222,1.0
36,0,0.1,0.3,"('WN', 'NK')",0.125,0.2222222222222222,0.0
37,0,0.1,0.3,"('US', 'NK')",0.14285714285714285,0.14285714285714285,0.0
38,0,0.1,0.3,"('HA', 'OO')",0.16666666666666663,0.1428571428571429,1.0
39,0,0.1,0.4,"('VX', 'B6')",0.14285714285714285,0.14285714285714285,0.0
40,0,0.1,0.4,"('VX', 'DL')",0.047619047619047616,0.041666666666666685,0.3333333333333333
41,0,0.1,0.4,"('AA', 'AS')",0.125,0.2222222222222222,0.0
42,0,0.1,0.4,"('F9', 'WN')",0.125,0.11111111111111116,1.0
43,0,0.1,0.4,"('B6', 'AS')",0.16666666666666663,0.16666666666666663,1.0
44,0,0.1,0.4,"('UA', 'WN')",0.125,0.3,0.0
45,0,0.1,0.4,"('UA', 'HA')",0.16666666666666663,0.33333333333333337,1.0
46,0,0.1,0.4,"('WN', 'MQ')",0.2857142857142857,0.25,0.0
47,0,0.1,0.4,"('US', 'EV')",0.16666666666666666,0.16666666666666666,0.0
48,0,0.1,0.4,"('NK', 'HA')",0.0,0.19999999999999996,1.0
49,0,0.1,0.4,"('NK', 'OO')",0.16666666666666666,0.16666666666666666,0.0
50,0,0.1,0.4,"('EV', 'OO')",0.1428571428571429,0.375,1.0
51,0,0.1,0.5,"('F9', 'WN')",0.125,0.1111111111111111,0.0
52,0,0.1,0.5,"('B6', 'WN')",0.125,0.30000000000000004,1.0
53,0,0.1,0.5,"('B6', 'AS')",0.16666666666666663,0.16666666666666663,1.0
54,0,0.1,0.5,"('DL', 'MQ')",0.16666666666666663,0.1428571428571429,1.0
55,0,0.1,0.5,"('DL', 'NK')",0.125,0.2222222222222222,1.0
56,0,0.1,0.5,"('UA', 'US')",0.25,0.4,0.0
57,0,0.1,0.5,"('UA', 'EV')",0.16666666666666663,0.2857142857142857,1.0
58,0,0.1,0.5,"('UA', 'HA')",0.16666666666666663,0.33333333333333337,1.0
59,0,0.1,0.5,"('UA', 'AS')",0.1428571428571429,0.375,1.0
60,0,0.1,0.5,"('WN', 'OO')",0.1428571428571429,0.25,1.0
61,0,0.1,0.5,"('US', 'MQ')",0.2,0.16666666666666666,0.0
62,0,0.1,0.5,"('US', 'NK')",0.14285714285714285,0.14285714285714285,0.0
63,0,0.1,0.5,"('NK', 'OO')",0.16666666666666666,0.16666666666666666,0.0
64,0,0.1,0.5,"('HA', 'OO')",0.16666666666666663,0.1428571428571429,1.0
65,0,0.1,0.6,"('AA', 'DL')",0.125,0.1,0.0
66,0,0.1,0.6,"('AA', 'UA')",0.125,0.36363636363636365,1.0
67,0,0.1,0.6,"('B6', 'DL')",0.125,0.125,0.0
68,0,0.1,0.6,"('DL', 'UA')",0.125,0.19999999999999996,1.0
69,0,0.1,0.6,"('UA', 'AS')",0.1428571428571429,0.375,1.0
70,0,0.1,0.6,"('WN', 'AS')",0.125,0.2222222222222222,1.0
71,0,0.1,0.6,"('US', 'MQ')",0.2,0.16666666666666666,0.0
72,0,0.1,0.6,"('US', 'EV')",0.16666666666666666,0.16666666666666666,0.0
73,0,0.1,0.6,"('NK', 'AS')",0.19999999999999996,0.4,1.0
74,0,0.1,0.7,"('AA', 'AS')",0.07500000000000001,0.0222222222222222,0.2
75,0,0.1,0.7,"('F9', 'DL')",0.125,0.11111111111111116,1.0
76,0,0.1,0.7,"('DL', 'NK')",0.125,0.2222222222222222,1.0
77,0,0.1,0.7,"('UA', 'WN')",0.07500000000000001,0.09999999999999998,0.2
78,0,0.1,0.7,"('UA', 'US')",0.04999999999999999,0.2,0.2
79,0,0.1,0.7,"('UA', 'HA')",0.16666666666666663,0.33333333333333337,1.0
80,0,0.1,0.7,"('WN', 'US')",0.125,0.2222222222222222,1.0
81,0,0.1,0.7,"('WN', 'MQ')",0.0357142857142857,0.0,0.25
82,0,0.1,0.7,"('MQ', 'HA')",0.0,0.0,1.0
83,0,0.1,0.7,"('NK', 'EV')",0.16666666666666663,0.16666666666666663,1.0
84,0,0.1,0.7,"('NK', 'HA')",0.0,0.19999999999999996,1.0
85,0,0.1,0.7,"('NK', 'AS')",0.19999999999999996,0.4,1.0
86,0,0.1,0.8,"('VX', 'AA')",0.0,0.0,0.5
87,0,0.1,0.8,"('VX', 'AS')",0.05714285714285705,0.08571428571428574,0.8
88,0,0.1,0.8,"('AA', 'HA')",0.06666666666666671,0.028571428571428525,0.4
89,0,0.1,0.8,"('B6', 'DL')",0.04166666666666666,0.04166666666666666,0.16666666666666666
90,0,0.1,0.8,"('B6', 'MQ')",0.09999999999999998,0.17142857142857137,0.4
91,0,0.1,0.8,"('B6', 'NK')",0.0,0.125,1.0
92,0,0.1,0.8,"('DL', 'UA')",0.04166666666666663,0.033333333333333326,0.8333333333333334
93,0,0.1,0.8,"('DL', 'EV')",0.05714285714285705,0.050000000000000044,0.8
94,0,0.1,0.8,"('UA', 'AS')",0.05714285714285705,0.17500000000000004,0.8
95,0,0.1,0.8,"('WN', 'MQ')",0.08571428571428569,0.04999999999999999,0.2
96,0,0.1,0.8,"('US', 'OO')",0.033333333333333354,0.033333333333333354,0.2
97,0,0.1,0.8,"('NK', 'HA')",0.0,0.19999999999999996,1.0
98,0,0.1,0.8,"('NK', 'AS')",0.050000000000000044,0.15000000000000002,0.75
99,0,0.1,0.9,"('VX', 'HA')",0.050000000000000044,0.15000000000000002,0.75
100,0,0.1,0.9,"('VX', 'AS')",0.023809523809523725,0.11904761904761907,0.8333333333333334
101,0,0.1,0.9,"('AA', 'HA')",0.06666666666666671,0.028571428571428525,0.4
102,0,0.1,0.9,"('B6', 'AS')",0.033333333333333326,0.033333333333333326,0.8
103,0,0.1,0.9,"('DL', 'OO')",0.023809523809523725,0.05555555555555558,0.8333333333333334
104,0,0.1,0.9,"('UA', 'AS')",0.023809523809523725,0.20833333333333337,0.8333333333333334
105,0,0.1,0.9,"('WN', 'US')",0.017857142857142905,0.0793650793650793,0.8571428571428571
106,0,0.1,0.9,"('WN', 'HA')",0.033333333333333326,0.050000000000000044,0.8
107,0,0.1,0.9,"('MQ', 'AS')",0.0,0.0,0.75
108,0,0.1,0.9,"('NK', 'OO')",0.0,0.0,0.16666666666666666
