,Runs,Initial Sample,Query Sample,Pair,Error on materialized,Error on lattice,Prediction
0,0,0.1,0.1,"('AA', 'B6')",0.4444444444444444,0.18181818181818177,1.0
1,0,0.1,0.1,"('AA', 'MQ')",0.4,0.2857142857142857,1.0
2,0,0.1,1.0,"('VX', 'AA')",0.0,0.07142857142857145,0.42857142857142855
3,0,0.1,1.0,"('VX', 'F9')",0.0,0.43333333333333335,0.4
4,0,0.1,1.0,"('VX', 'WN')",0.0,0.17500000000000004,0.625
5,0,0.6,0.1,"('VX', 'B6')",0.8571428571428572,0.8571428571428572,1.0
6,0,0.6,0.1,"('VX', 'UA')",0.7777777777777778,0.7777777777777778,1.0
7,0,0.6,0.1,"('VX', 'MQ')",0.8,0.8,1.0
8,0,0.6,0.1,"('VX', 'NK')",0.6,0.6,1.0
9,0,0.6,0.1,"('AA', 'UA')",0.19999999999999996,0.36363636363636365,1.0
10,0,0.6,0.6,"('VX', 'UA')",0.0222222222222222,0.0222222222222222,0.2
11,0,0.6,0.6,"('VX', 'NK')",0.06666666666666671,0.06666666666666671,0.3333333333333333
12,0,0.6,0.6,"('AA', 'UA')",0.19999999999999996,0.36363636363636365,1.0
13,0,0.6,0.6,"('AA', 'US')",0.0222222222222222,0.0222222222222222,0.2
14,0,0.6,1.0,"('VX', 'UA')",0.0,0.0,0.2222222222222222
15,0,0.6,1.0,"('VX', 'MQ')",0.0,0.0,0.2
16,0,0.6,1.0,"('VX', 'NK')",0.0,0.0,0.4
17,0,0.6,1.0,"('AA', 'B6')",0.0,0.09090909090909083,0.9090909090909091
18,0,0.6,1.0,"('AA', 'UA')",0.0,0.1636363636363637,0.8
19,0,0.6,1.0,"('AA', 'WN')",0.0,0.20000000000000007,0.8
20,0,1.0,0.1,"('VX', 'B6')",0.16666666666666666,0.14285714285714285,0.0
21,0,1.0,0.1,"('VX', 'UA')",0.2857142857142857,0.2222222222222222,0.0
22,0,1.0,0.1,"('VX', 'WN')",0.5714285714285714,0.8,0.0
23,0,1.0,0.1,"('VX', 'MQ')",0.2,0.2,0.0
24,0,1.0,0.1,"('VX', 'NK')",0.4,0.4,0.0
25,0,1.0,0.1,"('VX', 'HA')",0.4,0.6,0.0
26,0,1.0,0.1,"('AA', 'B6')",0.625,0.8181818181818182,0.0
27,0,1.0,0.1,"('AA', 'UA')",0.375,0.6363636363636364,0.0
28,0,1.0,0.1,"('AA', 'WN')",0.375,0.6,0.0
29,0,1.0,0.1,"('AA', 'MQ')",0.5,0.7142857142857143,0.0
30,0,1.0,0.6,"('VX', 'B6')",0.16666666666666666,0.14285714285714285,0.0
31,0,1.0,0.6,"('VX', 'UA')",0.2857142857142857,0.2222222222222222,0.0
32,0,1.0,0.6,"('VX', 'WN')",0.3214285714285714,0.55,0.25
33,0,1.0,0.6,"('VX', 'MQ')",0.2,0.2,0.0
34,0,1.0,0.6,"('VX', 'NK')",0.06666666666666671,0.06666666666666671,0.3333333333333333
35,0,1.0,0.6,"('VX', 'HA')",0.4,0.6,0.0
36,0,1.0,0.6,"('AA', 'B6')",0.375,0.5681818181818182,0.25
37,0,1.0,0.6,"('AA', 'UA')",0.125,0.38636363636363635,0.25
38,0,1.0,0.6,"('AA', 'WN')",0.125,0.35,0.25
39,0,1.0,0.6,"('AA', 'MQ')",0.16666666666666669,0.380952380952381,0.3333333333333333
40,0,1.0,1.0,"('VX', 'B6')",0.0,0.023809523809523808,0.16666666666666666
41,0,1.0,1.0,"('VX', 'UA')",0.0,0.06349206349206349,0.2857142857142857
42,0,1.0,1.0,"('VX', 'WN')",0.0,0.22857142857142865,0.5714285714285714
43,0,1.0,1.0,"('VX', 'MQ')",0.0,0.0,0.2
44,0,1.0,1.0,"('VX', 'NK')",0.0,0.0,0.4
45,0,1.0,1.0,"('VX', 'HA')",0.0,0.19999999999999996,0.4
46,0,1.0,1.0,"('AA', 'B6')",0.0,0.19318181818181823,0.625
47,0,1.0,1.0,"('AA', 'UA')",0.0,0.26136363636363635,0.375
48,0,1.0,1.0,"('AA', 'WN')",0.0,0.22499999999999998,0.375
49,0,1.0,1.0,"('AA', 'MQ')",0.0,0.2142857142857143,0.5
